"","team","season","coach_first_name","coach_last_name","coach_aux_1","coach_aux_2","grad_yr"
"1536","McNeese","2013-2014","Brooks","Donald","Williams",NA,"2000"
"1537","Memphis","2013-2014","Melissa","McFerrin",NA,NA,"1983"
"1538","Mercer","2013-2014","Susie","Gardner",NA,NA,"1986"
"1539","Miami (FL)","2013-2014","Katie","Meier",NA,NA,"1990"
"1540","Miami (OH)","2013-2014","Cleve","Wright",NA,NA,"1989"
"1541","Michigan","2013-2014","Kim","Barnes","Arico",NA,"1993"
"1542","Michigan St.","2013-2014","Suzy","Merchant",NA,NA,"1991"
"1543","Middle Tenn.","2013-2014","Rick","Insell",NA,NA,"1977"
"1544","Milwaukee","2013-2014","Kyle","Rechlicz",NA,NA,"2003"
"1545","Minnesota","2013-2014","Pam","Borton",NA,NA,"1987"
"1546","Mississippi St.","2013-2014","Vic","Schaefer",NA,NA,"1984"
"1547","Mississippi Val.","2013-2014","Elvis","Robinson",NA,NA,NA
"1548","Missouri","2013-2014","Robin","Pingeton",NA,NA,"1990"
"1549","Missouri St.","2013-2014","Kellie","Harper",NA,NA,NA
"1550","Monmouth","2013-2014","Jenny","Palmateer",NA,NA,"1993"
"1551","Montana","2013-2014","Robin","Selvig",NA,NA,"1975"
"1552","Montana St.","2013-2014","Tricia","Binford",NA,NA,"1995"
"1553","Morehead St.","2013-2014","Tom","Hodges",NA,NA,"2004"
"1554","Morgan St.","2013-2014","Donald","Beasley",NA,NA,"1984"
"1555","Mount St. Mary's","2013-2014","Bryan","Whitten",NA,NA,"1991"
"1556","Murray St.","2013-2014","Rob","Cross",NA,NA,"1991"
"1557","N.C. A&T","2013-2014","Tarrell","Robinson",NA,NA,"2001"
"1558","N.C. Central","2013-2014","Vanessa","Taylor",NA,NA,"1991"
"1559","NC State","2013-2014","Wes","Moore",NA,NA,"1986"
"1560","NJIT","2013-2014","Steve","Lanpher",NA,NA,NA
"1561","Navy","2013-2014","Stefanie","Pemper",NA,NA,"92"
"1562","Nebraska","2013-2014","Connie","Yori",NA,NA,"1986"
"1563","Nevada","2013-2014","Jane","Albright",NA,NA,"1977"
"1564","New Hampshire","2013-2014","Maureen","Magarity",NA,NA,"2003"
"1565","New Mexico","2013-2014","Yvonne","Sanchez",NA,NA,"1989"
"1566","New Mexico St.","2013-2014","Mark","Trakh",NA,NA,"1981"
"1567","New Orleans","2013-2014","Keeshawn","Davenport",NA,NA,"2001"
"1568","Niagara","2013-2014","Kendra","Faustin",NA,NA,"2001"
"1569","Nicholls St.","2013-2014","DoBee","Plaisance",NA,NA,NA
"1570","Norfolk St.","2013-2014","Debra","Clark",NA,NA,"1984"
"1571","North Carolina","2013-2014","Sylvia","Hatchell",NA,NA,"1974"
"1572","North Dakota","2013-2014","Travis","Brewster",NA,NA,"1994"
"1573","North Dakota St.","2013-2014","Carolyn","DeHoff",NA,NA,NA
"1574","North Florida","2013-2014","Mary","Tappmeyer",NA,NA,"1981"
"1575","North Texas","2013-2014","Mike","Petersen",NA,NA,"1983"
"1576","Northeastern","2013-2014","Daynia","LaForce-Mann",NA,NA,"1995"
"1577","Northern Ariz.","2013-2014","Sue","Darling",NA,NA,"1983"
"1578","Northern Colo.","2013-2014","Jaime","White",NA,NA,"1994"
"1579","Northern Ill.","2013-2014","Kathi","Bennett",NA,NA,"1986"
"1580","Northern Ky.","2013-2014","Dawn","Plitzuweit",NA,NA,"1995"
"1581","Northwestern","2013-2014","Joe","McKeown",NA,NA,"1979"
"1582","Northwestern St.","2013-2014","Brooke","Stoehr",NA,NA,"2002"
"1583","Notre Dame","2013-2014","Muffet","McGraw",NA,NA,"1977"
"1584","Oakland","2013-2014","Jeff","Tungate",NA,NA,"1993"
"1585","Ohio","2013-2014","Bob","Boldon",NA,NA,"1997"
"1586","Ohio St.","2013-2014","Kevin","McGuff",NA,NA,"1992"
"1587","Oklahoma","2013-2014","Sherri","Coale",NA,NA,"1987"
"1588","Oklahoma St.","2013-2014","Jim","Littell",NA,NA,"1977"
"1589","Old Dominion","2013-2014","Karen","Barefoot",NA,NA,"1995"
"1590","Ole Miss","2013-2014","Matt","Insell",NA,NA,"2007"
"1591","Omaha","2013-2014","Brittany","Lange",NA,NA,NA
"1592","Oral Roberts","2013-2014","Misti","Cussen",NA,NA,"1993"
"1593","Oregon","2013-2014","Paul","Westhead",NA,NA,"1961"
"1594","Oregon St.","2013-2014","Scott","Rueck",NA,NA,"1991"
"1595","Pacific","2013-2014","Lynne","Roberts",NA,NA,"1997"
"1596","Penn","2013-2014","Mike","McLaughlin",NA,NA,"1991"
"1597","Penn St.","2013-2014","Coquese","Washington",NA,NA,"1993"
"1598","Pepperdine","2013-2014","Ryan","Weisenberg",NA,NA,"1997"
"1599","Pittsburgh","2013-2014","Suzie","McConnell-Serio",NA,NA,"1988"
"1600","Portland","2013-2014","Jim","Sollars",NA,NA,"1966"
"1601","Portland St.","2013-2014","Sherri","Murrell",NA,NA,"1991"
"1602","Prairie View","2013-2014","Dawn","Brown",NA,NA,"2005"
"1603","Presbyterian","2013-2014","Ronny","Fisher",NA,NA,"1990"
"1604","Princeton","2013-2014","Courtney","Banghart",NA,NA,"2000"
"1605","Providence","2013-2014","Susan","Robinson","Fruchtl",NA,"1992"
"1606","Purdue","2013-2014","Sharon","Versyp",NA,NA,"1989"
"1607","Purdue Fort Wayne","2013-2014","Chris","Paul",NA,NA,NA
"1608","Quinnipiac","2013-2014","Tricia","Fabbri",NA,NA,"1991"
"1609","Radford","2013-2014","Mike","McGuire",NA,NA,"2000"
"1610","Rhode Island","2013-2014","Cathy","Inglese",NA,NA,"1980"
"1611","Rice","2013-2014","Greg","Williams",NA,NA,"1970"
"1612","Richmond","2013-2014","Michael","Shafer",NA,NA,"1994"
"1613","Rider","2013-2014","Lynn","Milligan",NA,NA,"1992"
"1614","Robert Morris","2013-2014","Sal","Buscaglia",NA,NA,"1976"
"1615","Rutgers","2013-2014","C.","Vivian","Stringer",NA,"1970"
"1616","SFA","2013-2014","Brandon","Schneider",NA,NA,"1995"
"1617","SIUE","2013-2014","Paula","Buscher",NA,NA,"1986"
"1618","SMU","2013-2014","Rhonda","Rompola",NA,NA,"1983"
"1619","Sacramento St.","2013-2014","Bunky","Harkleroad",NA,NA,"1993"
"1620","Sacred Heart","2013-2014","Jessica","Mannetti",NA,NA,"2001"
"1621","Saint Francis (PA)","2013-2014","Joe","Haigh",NA,NA,"1995"
"1622","Saint Joseph's","2013-2014","Cindy","Griffin",NA,NA,"1991"
"1623","Saint Louis","2013-2014","Lisa","Stone",NA,NA,"1984"
"1624","Saint Mary's (CA)","2013-2014","Paul","Thomas",NA,NA,"1986"
"1625","Saint Peter's","2013-2014","Pat","Coyle",NA,NA,"1982"
"1626","Sam Houston St.","2013-2014","Brenda","Welch-Nichols",NA,NA,"1989"
"1627","Samford","2013-2014","Mike","Morris",NA,NA,"1992"
"1628","San Diego","2013-2014","Cindy","Fisher",NA,NA,"1988"
"1629","San Diego St.","2013-2014","Stacie","Terry",NA,NA,"1998"
"1630","San Francisco","2013-2014","Jennifer","Azzi",NA,NA,"1990"
"1631","San Jose St.","2013-2014","Jamie","Craighead",NA,NA,"2002"
"1632","Santa Clara","2013-2014","Jennifer","Mountain",NA,NA,"1991"
"1633","Savannah St.","2013-2014","Cedric","Baker",NA,NA,"1990"
"1634","Seattle U","2013-2014","Joan","Bonvicini",NA,NA,"1975"
"1635","Seton Hall","2013-2014","Tony","Bozzella",NA,NA,"1989"
"1636","Siena","2013-2014","Ali","Jaques",NA,NA,"1998"
"1637","South Alabama","2013-2014","Terry","Fowler",NA,NA,"1986"
"1638","South Carolina","2013-2014","Dawn","Staley",NA,NA,"1992"
"1639","South Carolina St.","2013-2014","Douglas","Robertson",NA,NA,"1995"
"1640","South Dakota","2013-2014","Amy","Williams",NA,NA,NA
"1641","South Dakota St.","2013-2014","Aaron","Johnston",NA,NA,"1996"
"1642","South Fla.","2013-2014","Jose","Fernandez",NA,NA,"1994"
"1643","Southeast Mo. St.","2013-2014","Ty","Margenthaler",NA,NA,"1997"
"1644","Southeastern La.","2013-2014","Lori","Davis","Jones",NA,"1991"
"1645","Southern California","2013-2014","Cynthia","Cooper",NA,NA,"2005"
"1646","Southern Ill.","2013-2014","Cindy","Stein",NA,NA,"1983"
"1647","Southern Miss.","2013-2014","Joye","Lee-McNelis",NA,NA,"1984"
"1648","Southern U.","2013-2014","Sandy","Pugh",NA,NA,"1987"
"1649","Southern Utah","2013-2014","JR","Payne",NA,NA,"1999"
"1650","St. Bonaventure","2013-2014","Jim","Crowley",NA,NA,"1993"
"1651","St. Francis Brooklyn","2013-2014","John","Thurston",NA,NA,"1970"
"1652","St. John's (NY)","2013-2014","Joe","Tartamella",NA,NA,"2001"
"1653","Stanford","2013-2014","Tara","VanDerveer",NA,NA,"1975"
"1654","Stetson","2013-2014","Lynn","Bria",NA,NA,"1990"
"1655","Stony Brook","2013-2014","Beth","O'Boyle",NA,NA,"1998"
"1656","Syracuse","2013-2014","Quentin","Hillsman",NA,NA,"1993"
"1657","TCU","2013-2014","Jeff","Mittie",NA,NA,"1989"
"1658","Temple","2013-2014","Tonya","Cardoza",NA,NA,NA
"1659","Tennessee","2013-2014","Holly","Warlick",NA,NA,"1981"
"1660","Tennessee St.","2013-2014","Larry","Inman",NA,NA,"1970"
"1661","Tennessee Tech","2013-2014","Jim","Davis",NA,NA,"1970"
"1662","Texas","2013-2014","Karen","Aston",NA,NA,"1987"
"1663","Texas A&M","2013-2014","Gary","Blair",NA,NA,"1972"
"1664","Texas Southern","2013-2014","Johnetta","Hayes-Perry",NA,NA,"2004"
"1665","Texas St.","2013-2014","Zenarae","Antoine",NA,NA,"1998"
"1666","Texas Tech","2013-2014","Candi","Whitaker",NA,NA,"2002"
"1667","Toledo","2013-2014","Tricia","Cullop",NA,NA,"1993"
"1668","Towson","2013-2014","Niki","Reid","Geckeler",NA,"1993"
"1669","Troy","2013-2014","Chanda","Rigby",NA,NA,"1990"
"1670","Tulane","2013-2014","Lisa","Stockton",NA,NA,"1986"
"1671","Tulsa","2013-2014","Matilda","Mossman",NA,NA,"1979"
"1672","UAB","2013-2014","Randy","Norton",NA,NA,"1996"
"1673","UC Davis","2013-2014","Jennifer","Gross",NA,NA,"1997"
"1674","UC Irvine","2013-2014","Doug","Oliver",NA,NA,"1973"
"1675","UC Riverside","2013-2014","John","Margaritis",NA,NA,"1982"
"1676","UC Santa Barbara","2013-2014","Charlene","Mitchell",NA,NA,"1996"
"1677","UCF","2013-2014","Joi","Williams",NA,NA,"1988"
"1678","UCLA","2013-2014","Cori","Close",NA,NA,"1993"
"1679","UConn","2013-2014","Geno","Auriemma",NA,NA,NA
"1680","UIC","2013-2014","Regina","Miller",NA,NA,"1984"
"1681","UMBC","2013-2014","Phil","Stern",NA,NA,"1994"
"1682","UMES","2013-2014","Fred","Batchelor",NA,NA,"1988"
"1683","UMKC","2013-2014","Marsha","Frese",NA,NA,"1994"
"1684","UMass Lowell","2013-2014","Sarah","Behn",NA,NA,"1993"
"1685","UNC Asheville","2013-2014","Brenda","Mock","Kirkpatrick",NA,"2001"
"1686","UNC Greensboro","2013-2014","Wendy","Palmer",NA,NA,"1996"
"1687","UNCW","2013-2014","Adell","Harris",NA,NA,"2002"
"1688","UNI","2013-2014","Tanya","Warren",NA,NA,"1988"
"1689","UNLV","2013-2014","Kathy","Olivier",NA,NA,NA
"1690","USC Upstate","2013-2014","Tammy","George",NA,NA,"1993"
"1691","UT Arlington","2013-2014","Krista","Gerlich",NA,NA,"1993"
"1692","UT Martin","2013-2014","Kevin","McMillan",NA,NA,"1989"
"1693","UTEP","2013-2014","Keitha","Adams",NA,NA,"1989"
"1694","UTRGV","2013-2014","Larry","Tidwell",NA,NA,"1976"
"1695","UTSA","2013-2014","Lubomyr","Lichonczak",NA,NA,"1978"
"1696","Utah","2013-2014","Anthony","Levrets",NA,NA,"2000"
"1697","Utah St.","2013-2014","Jerry","Finkbeiner",NA,NA,"1980"
"1698","Utah Valley","2013-2014","Cathy","Nixon",NA,NA,"1989"
"1699","VCU","2013-2014","Marlene","Stollings",NA,NA,"1998"
"1700","Valparaiso","2013-2014","Tracey","Dorow",NA,NA,"1996"
"1701","Vanderbilt","2013-2014","Melanie","Balcomb",NA,NA,"1984"
"1702","Vermont","2013-2014","Lori","Gear","McBride",NA,"1997"
"1703","Villanova","2013-2014","Harry","Perretta",NA,NA,NA
"1704","Virginia","2013-2014","Joanne","Boyle",NA,NA,"1985"
"1705","Virginia Tech","2013-2014","Dennis","Wolff",NA,NA,"1978"
"1706","Wagner","2013-2014","Lisa","Cermignano",NA,NA,"1997"
"1707","Wake Forest","2013-2014","Jennifer","Hoover",NA,NA,"1991"
"1708","Washington","2013-2014","Mike","Neighbors",NA,NA,NA
"1709","Washington St.","2013-2014","June","Daugherty",NA,NA,"1978"
"1710","Weber St.","2013-2014","Bethann","Shapiro","Ord",NA,"1989"
"1711","West Virginia","2013-2014","Mike","Carey",NA,NA,"1980"
"1712","Western Caro.","2013-2014","Karen","Middleton",NA,NA,"1991"
"1713","Western Ill.","2013-2014","JD","Gravina",NA,NA,"2000"
"1714","Western Ky.","2013-2014","Michelle","Clark-Heard",NA,NA,"1990"
"1715","Western Mich.","2013-2014","Shane","Clipfell",NA,NA,"2006"
"1716","Wichita St.","2013-2014","Jody","Adams",NA,NA,"1994"
"1717","William & Mary","2013-2014","Ed","Swanson",NA,NA,"1989"
"1718","Winthrop","2013-2014","Kevin","Cook",NA,NA,"1983"
"1719","Wisconsin","2013-2014","Bobbie","Kelsey",NA,NA,"1996"
"1720","Wofford","2013-2014","Edgar","Farmer",NA,NA,NA
"1721","Wright St.","2013-2014","Michael","Bradbury",NA,NA,"1993"
"1722","Wyoming","2013-2014","Joe","Legerski",NA,NA,"1979"
"1723","Xavier","2013-2014","Brian","Neal",NA,NA,"1991"
"1724","Yale","2013-2014","Chris","Gobrecht",NA,NA,"1977"
"1725","Youngstown St.","2013-2014","John","Barnes",NA,NA,"1995"
"1726","A&M-Corpus Christi","2014-2015","Royce","Chadwick",NA,NA,"1980"
"1727","Abilene Christian","2014-2015","Julie","Goodenough",NA,NA,"1991"
"1728","Air Force","2014-2015","Andrea","Williams",NA,NA,"1994"
"1729","Akron","2014-2015","Jodi","Kest",NA,NA,"1984"
"1730","Alabama","2014-2015","Kristy","Curry",NA,NA,"1988"
"1731","Alabama A&M","2014-2015","Semeka","Randall",NA,NA,"2000"
"1732","Alabama St.","2014-2015","Freda","Freeman-Jackson",NA,NA,"1984"
"1733","Albany (NY)","2014-2015","Katie","Abrahamson-Henderson",NA,NA,"1990"
"1734","Alcorn","2014-2015","Tonya","Edwards",NA,NA,"1990"
"1735","American","2014-2015","Megan","Gebbia",NA,NA,"1994"
"1736","Appalachian St.","2014-2015","Angel","Elderkin",NA,NA,"1999"
"1737","Arizona","2014-2015","Niya","Butts",NA,NA,"2000"
"1738","Arizona St.","2014-2015","Charli","Turner","Thorne",NA,"88"
"1739","Ark.-Pine Bluff","2014-2015","Nate","Kilbert",NA,NA,"1987"
"1740","Arkansas","2014-2015","Jimmy","Dykes",NA,NA,"1985"
"1741","Arkansas St.","2014-2015","Brian","Boyer",NA,NA,"1993"
"1742","Army West Point","2014-2015","Dave","Magarity",NA,NA,"1974"
"1743","Auburn","2014-2015","Terri","Williams-Flournoy",NA,NA,"1991"
"1744","Austin Peay","2014-2015","Carrie","Daniels",NA,NA,"1996"
"1745","BYU","2014-2015","Jeff","Judkins",NA,NA,"1978"
"1746","Ball St.","2014-2015","Brady","Sallee",NA,NA,"1993"
"1747","Baylor","2014-2015","Kim","Mulkey",NA,NA,"1984"
"1748","Belmont","2014-2015","Cameron","Newbauer",NA,NA,"2001"
"1749","Bethune-Cookman","2014-2015","Vanessa","Blair-Lewis",NA,NA,"1992"
"1750","Binghamton","2014-2015","Linda","Cimino",NA,NA,"2001"
"1751","Boise St.","2014-2015","Gordy","Presnell",NA,NA,"1983"
"1752","Boston College","2014-2015","Erik","Johnson",NA,NA,"1994"
"1753","Boston U.","2014-2015","Katy","Steding",NA,NA,"1990"
"1754","Bowling Green","2014-2015","Jennifer","Roos",NA,NA,"1993"
"1755","Bradley","2014-2015","Mike","Brooks",NA,NA,"2004"
"1756","Brown","2014-2015","Sarah","Behn",NA,NA,"1993"
"1757","Bryant","2014-2015","Mary","Burke",NA,NA,"1987"
"1758","Bucknell","2014-2015","Aaron","Roussell",NA,NA,"2001"
"1759","Buffalo","2014-2015","Felisha","Legette-Jack",NA,NA,"1989"
"1760","Butler","2014-2015","Kurt","Godlevske",NA,NA,"1994"
"1761","CSU Bakersfield","2014-2015","Greg","McCall",NA,NA,"1991"
"1762","CSUN","2014-2015","Jason","Flowers",NA,NA,"2003"
"1763","Cal Poly","2014-2015","Faith","Mimnaugh",NA,NA,"1985"
"1764","Cal St. Fullerton","2014-2015","Daron","Park",NA,NA,"1994"
"1765","California","2014-2015","Lindsay","Gottlieb",NA,NA,"1999"
"1766","Campbell","2014-2015","Wanda","Watkins",NA,NA,"1979"
"1767","Canisius","2014-2015","Terry","Zeh",NA,NA,"1990"
"1768","Central Ark.","2014-2015","Sandra","Rushing",NA,NA,"86"
"1769","Central Conn. St.","2014-2015","Beryl","Piper",NA,NA,"1987"
"1770","Central Mich.","2014-2015","Sue","Guevara",NA,NA,"1982"
"1771","Charleston So.","2014-2015","Fred","Applin",NA,NA,"1985"
"1772","Charlotte","2014-2015","Cara","Consuegra",NA,NA,"2001"
"1773","Chattanooga","2014-2015","Jim","Foster",NA,NA,"1980"
"1774","Chicago St.","2014-2015","Angela","Jackson",NA,NA,"1991"
"1775","Cincinnati","2014-2015","Jamelle","Elliott",NA,NA,NA
"1776","Clemson","2014-2015","Audra","Smith",NA,NA,"1992"
"1777","Cleveland St.","2014-2015","Kate","Peterson","Abiad",NA,"1991"
"1778","Coastal Caro.","2014-2015","Jaida","Williams",NA,NA,"2005"
"1779","Col. of Charleston","2014-2015","Candice","Jackson",NA,NA,"2004"
"1780","Colgate","2014-2015","Nicci","Hays","Fort",NA,"1998"
"1781","Colorado","2014-2015","Linda","Lappe",NA,NA,"2002"
"1782","Colorado St.","2014-2015","Ryun","Williams",NA,NA,"1992"
"1783","Columbia","2014-2015","Stephanie","Glance",NA,NA,"1985"
"1784","Coppin St.","2014-2015","Derek","Brown",NA,NA,NA
"1785","Cornell","2014-2015","Dayna","Smith",NA,NA,"1996"
"1786","Creighton","2014-2015","Jim","Flanery",NA,NA,"1987"
"1787","Dartmouth","2014-2015","Belle","Koclanes",NA,NA,"2002"
"1788","Davidson","2014-2015","Michele","Savage",NA,NA,"1993"
"1789","Dayton","2014-2015","Jim","Jabir",NA,NA,"1984"
"1790","DePaul","2014-2015","Doug","Bruno",NA,NA,"1973"
"1791","Delaware","2014-2015","Tina","Martin",NA,NA,"1986"
"1792","Delaware St.","2014-2015","Tamika","Louis",NA,NA,"1998"
"1793","Denver","2014-2015","Kerry","Cremeans",NA,NA,NA
"1794","Detroit Mercy","2014-2015","Autumn","Rademacher",NA,NA,"1997"
"1795","Drake","2014-2015","Jennie","Baranczyk",NA,NA,"2004"
"1796","Drexel","2014-2015","Denise","Dillon",NA,NA,"1996"
"1797","Duke","2014-2015","Joanne","P.","McCallie",NA,"1987"
"1798","Duquesne","2014-2015","Dan","Burt",NA,NA,"1993"
"1799","ETSU","2014-2015","Brittney","Ezell",NA,NA,"1999"
"1800","East Carolina","2014-2015","Heather","Macy",NA,NA,"2000"
"1801","Eastern Ill.","2014-2015","Debbie","Black",NA,NA,"1988"
"1802","Eastern Ky.","2014-2015","Chrissy","Roberts",NA,NA,"1998"
"1803","Eastern Mich.","2014-2015","Tory","Verdi",NA,NA,"1996"
"1804","Eastern Wash.","2014-2015","Wendy","Schuller",NA,NA,"1992"
"1805","Elon","2014-2015","Charlotte","Smith",NA,NA,"1995"
"1806","Evansville","2014-2015","Oties","Epps",NA,NA,NA
"1807","FGCU","2014-2015","Karl","Smesko",NA,NA,"1993"
"1808","FIU","2014-2015","Cindy","Russo",NA,NA,"1975"
"1809","Fairfield","2014-2015","Joe","Frager",NA,NA,NA
"1810","Fairleigh Dickinson","2014-2015","Peter","Cinella",NA,NA,"1990"
"1811","Fla. Atlantic","2014-2015","Kellie","Lewis-Jay",NA,NA,"1998"
"1812","Florida","2014-2015","Amanda","Butler",NA,NA,"1995"
"1813","Florida A&M","2014-2015","LeDawn","Gibson",NA,NA,"2000"
"1814","Florida St.","2014-2015","Sue","Semrau",NA,NA,"1985"
"1815","Fordham","2014-2015","Stephanie","Gaitley",NA,NA,"1982"
"1816","Fresno St.","2014-2015","Jaime","White",NA,NA,"1994"
"1817","Furman","2014-2015","Jackie","Smith","Carson",NA,"2001"
"1818","Ga. Southern","2014-2015","Chris","Vozab",NA,NA,"2002"
"1819","Gardner-Webb","2014-2015","Rick","Reeves",NA,NA,"1981"
"1820","George Mason","2014-2015","Nyla","Milleson",NA,NA,"1985"
"1821","George Washington","2014-2015","Jonathan","Tsipis",NA,NA,"1996"
"1822","Georgetown","2014-2015","Natasha","Adair",NA,NA,"1994"
"1823","Georgia","2014-2015","Andy","Landers",NA,NA,"1974"
"1824","Georgia St.","2014-2015","Sharon","Baldwin",NA,NA,"1991"
"1825","Georgia Tech","2014-2015","MaChelle","Joseph",NA,NA,"1992"
"1826","Gonzaga","2014-2015","Lisa","Fortier",NA,NA,"2004"
"1827","Grambling","2014-2015","Nadine","Domond",NA,NA,NA
"1828","Grand Canyon","2014-2015","Trent","May",NA,NA,"1995"
"1829","Green Bay","2014-2015","Kevin","Borseth",NA,NA,"1976"
"1830","Hampton","2014-2015","David","Six",NA,NA,"2009"
"1831","Hartford","2014-2015","Jennifer","Rizzotti",NA,NA,"1996"
"1832","Harvard","2014-2015","Kathleen","Delaney-Smith",NA,NA,"1971"
"1833","Hawaii","2014-2015","Laura","Beeman",NA,NA,"1992"
"1834","High Point","2014-2015","DeUnna","Hendrix",NA,NA,"2007"
"1835","Hofstra","2014-2015","Krista","Kilburn-Steveskey",NA,NA,"1990"
"1836","Holy Cross","2014-2015","Bill","Gibbons","Jr.",NA,"1981"
"1837","Houston","2014-2015","Ronald","Hughey",NA,NA,"2006"
"1838","Houston Baptist","2014-2015","Donna","Finnie",NA,NA,"1998"
"1839","Howard","2014-2015","Tennille","Adams",NA,NA,"1999"
"1840","IUPUI","2014-2015","Austin","Parkinson",NA,NA,"2004"
"1841","Idaho","2014-2015","Jon","Newlee",NA,NA,"1982"
"1842","Idaho St.","2014-2015","Seton","Sobolewski",NA,NA,"2001"
"1843","Illinois","2014-2015","Matt","Bollant",NA,NA,"1994"
"1844","Illinois St.","2014-2015","Barb","Smith",NA,NA,"1986"
"1845","Incarnate Word","2014-2015","Kate","Henderson",NA,NA,"2000"
"1846","Indiana","2014-2015","Teri","Moren",NA,NA,"1992"
"1847","Indiana St.","2014-2015","Joey","Wells",NA,NA,"1996"
"1848","Iona","2014-2015","Billi","Chambers",NA,NA,"2003"
"1849","Iowa","2014-2015","Lisa","Bluder",NA,NA,"1983"
"1850","Iowa St.","2014-2015","Bill","Fennelly",NA,NA,"1979"
"1851","Jackson St.","2014-2015","Surina","Dixon",NA,NA,"1983"
"1852","Jacksonville","2014-2015","Yolett","McPhee-McCuin",NA,NA,"2004"
"1853","Jacksonville St.","2014-2015","Rick","Pietri",NA,NA,"1987"
"1854","James Madison","2014-2015","Kenny","Brooks",NA,NA,"1992"
"1855","Kansas","2014-2015","Bonnie","Henrickson",NA,NA,"1986"
"1856","Kansas St.","2014-2015","Jeff","Mittie",NA,NA,"1989"
"1857","Kennesaw St.","2014-2015","Nitra","Perry",NA,NA,"2000"
"1858","Kent St.","2014-2015","Danielle","O'Banion",NA,NA,"2001"
"1859","Kentucky","2014-2015","Matthew","Mitchell",NA,NA,"1995"
"1860","LIU Brooklyn","2014-2015","Gail","Striegler",NA,NA,"1990"
"1861","LSU","2014-2015","Nikki","Fargas",NA,NA,"1994"
"1862","La Salle","2014-2015","Jeff","Williams",NA,NA,"1987"
"1863","La.-Monroe","2014-2015","Jeff","Dow",NA,NA,"1989"
"1864","Lafayette","2014-2015","Dianne","Nolan",NA,NA,"1973"
"1865","Lamar University","2014-2015","Robin","Harmony",NA,NA,"1984"
"1866","Lehigh","2014-2015","Sue","Troyan",NA,NA,"1988"
"1867","Liberty","2014-2015","Carey","Green",NA,NA,"1979"
"1868","Lipscomb","2014-2015","Greg","Brown",NA,NA,"1993"
"1869","Little Rock","2014-2015","Joe","Foley",NA,NA,"1979"
"1870","Long Beach St.","2014-2015","Jody","Wynn",NA,NA,"1996"
"1871","Longwood","2014-2015","Bill","Reinson",NA,NA,NA
"1872","Louisiana","2014-2015","Garry","Brodhead",NA,NA,NA
"1873","Louisiana Tech","2014-2015","Tyler","Summitt",NA,NA,"2012"
"1874","Louisville","2014-2015","Jeff","Walz",NA,NA,"1995"
"1875","Loyola Chicago","2014-2015","Sheryl","Swoopes",NA,NA,"1994"
"1876","Loyola Maryland","2014-2015","Joe","Logan",NA,NA,"1996"
"1877","Loyola Marymount","2014-2015","Charity","Elliott",NA,NA,"1992"
"1878","Maine","2014-2015","Richard","Barron",NA,NA,"1991"
"1879","Manhattan","2014-2015","John","Olenowski",NA,NA,"1977"
"1880","Marist","2014-2015","Brian","Giorgis",NA,NA,"1977"
"1881","Marquette","2014-2015","Carolyn","Kieger",NA,NA,"2006"
"1882","Marshall","2014-2015","Matt","Daniel",NA,NA,"1998"
"1883","Maryland","2014-2015","Brenda","Frese",NA,NA,"1993"
"1884","Massachusetts","2014-2015","Sharon","Dawley",NA,NA,"1983"
"1885","McNeese","2014-2015","Brooks","Donald","Williams",NA,"2000"
"1886","Memphis","2014-2015","Melissa","McFerrin",NA,NA,"1983"
"1887","Mercer","2014-2015","Susie","Gardner",NA,NA,"1986"
"1888","Miami (FL)","2014-2015","Katie","Meier",NA,NA,"1990"
"1889","Miami (OH)","2014-2015","Cleve","Wright",NA,NA,"1989"
"1890","Michigan","2014-2015","Kim","Barnes","Arico",NA,"1993"
"1891","Michigan St.","2014-2015","Suzy","Merchant",NA,NA,"1991"
"1892","Middle Tenn.","2014-2015","Rick","Insell",NA,NA,"1977"
"1893","Milwaukee","2014-2015","Kyle","Rechlicz",NA,NA,"2003"
"1894","Minnesota","2014-2015","Marlene","Stollings",NA,NA,"1998"
"1895","Mississippi St.","2014-2015","Vic","Schaefer",NA,NA,"1984"
"1896","Mississippi Val.","2014-2015","Elvis","Robinson",NA,NA,NA
"1897","Missouri","2014-2015","Robin","Pingeton",NA,NA,"1990"
"1898","Missouri St.","2014-2015","Kellie","Harper",NA,NA,NA
"1899","Monmouth","2014-2015","Jenny","Palmateer",NA,NA,"1993"
"1900","Montana","2014-2015","Robin","Selvig",NA,NA,"1975"
"1901","Montana St.","2014-2015","Tricia","Binford",NA,NA,"1995"
"1902","Morehead St.","2014-2015","Greg","Todd",NA,NA,NA
"1903","Morgan St.","2014-2015","Donald","Beasley",NA,NA,"1984"
"1904","Mount St. Mary's","2014-2015","Bryan","Whitten",NA,NA,"1991"
"1905","Murray St.","2014-2015","Rob","Cross",NA,NA,"1991"
"1906","N.C. A&T","2014-2015","Tarrell","Robinson",NA,NA,"2001"
"1907","N.C. Central","2014-2015","Vanessa","Taylor",NA,NA,"1991"
"1908","NC State","2014-2015","Wes","Moore",NA,NA,"1986"
"1909","NJIT","2014-2015","Steve","Lanpher",NA,NA,NA
"1910","Navy","2014-2015","Stefanie","Pemper",NA,NA,"92"
"1911","Nebraska","2014-2015","Connie","Yori",NA,NA,"1986"
"1912","Nevada","2014-2015","Jane","Albright",NA,NA,"1977"
